timestamp,cpu_percent,rss_memory_mb,open_fds
1777396490.853077,0.0,1252.109375,58
1777396491.365584,0.0,1252.109375,58
1777396491.876531,0.0,1252.109375,58
1777396492.389477,0.0,1252.109375,58
1777396492.901181,0.0,1252.109375,58
1777396493.412946,0.0,1252.109375,58
1777396493.922569,0.0,1252.109375,58
1777396494.43529,0.0,1252.109375,58
1777396494.947113,0.0,1252.109375,58
1777396495.4565709,0.0,1252.109375,58
1777396495.966243,0.0,1252.109375,58
1777396496.4794161,0.0,1252.390625,96
1777396496.991818,0.0,1252.109375,58
1777396497.504508,0.0,1252.109375,58
1777396498.115231,0.0,1255.796875,1236
1777396498.623799,0.0,1229.71875,526
1777396499.137393,0.0,1229.34375,58
1777396499.649941,0.0,1263.03125,1486
1777396500.160167,0.0,1296.078125,2813
1777396500.671915,0.0,1338.125,4408
1777396501.1860778,0.0,1372.609375,5673
1777396501.708873,0.0,1409.140625,7057
1777396502.2217002,0.0,1437.046875,8139
1777396502.7355342,0.0,1467.703125,9323
1777396503.2496362,0.0,1481.890625,10170
1777396503.7628632,0.0,1517.53125,11270
1777396504.277917,0.0,1560.328125,12189
1777396504.786724,0.0,1575.78125,12421
1777396505.297185,0.0,1448.78125,9711
1777396505.8072362,0.0,1344.109375,7479
1777396506.31468,0.0,1304.1875,6628
1777396506.8232489,0.0,1296.078125,6455
1777396507.330654,0.0,1294.71875,1672
1777396507.8419478,0.0,1294.34375,58
1777396508.3548641,0.0,1294.34375,58
1777396508.862805,0.0,1294.34375,58
1777396509.373605,0.0,1294.34375,58
1777396509.883986,0.0,1294.34375,58
1777396510.393972,0.0,1294.34375,58
1777396510.901758,0.0,1294.390625,61
1777396511.411346,0.0,1294.359375,58
1777396511.922178,0.0,1294.359375,58
1777396512.432526,0.0,1294.359375,58
1777396512.943881,0.0,1294.359375,58
1777396513.4561348,0.0,1294.359375,58
1777396513.96733,0.0,1294.359375,58
1777396514.477686,0.0,1294.359375,58
1777396514.990062,0.0,1294.359375,58
1777396515.499626,0.0,1294.359375,58
1777396516.011463,0.0,1294.359375,58
1777396516.522756,0.0,1294.359375,58
